Case Daily Trends - United States,,
Date generated: Fri 11 27 2020 21:19:52 GMT-0500 (Eastern Standard Time),,
,,
Date,New Cases,7-Day Moving Avg
01 22 2020,1,0
01 23 2020,0,0
01 24 2020,1,0
01 25 2020,0,0
01 26 2020,3,0
01 27 2020,0,0
01 28 2020,0,0
01 29 2020,0,0
01 30 2020,0,0
01 31 2020,2,0
02 1 2020,1,0
02 10 2020,0,0
02 11 2020,1,0
02 12 2020,0,0
02 13 2020,1,0
02 14 2020,0,0
02 15 2020,0,0
02 16 2020,0,0
02 17 2020,0,0
02 18 2020,0,0
02 19 2020,0,0
02 2 2020,0,0
02 20 2020,0,0
02 21 2020,2,0
02 22 2020,0,0
02 23 2020,0,0
02 24 2020,0,0
02 25 2020,0,0
02 26 2020,0,0
02 27 2020,1,0
02 28 2020,0,0
02 29 2020,10,1
02 3 2020,3,0
02 4 2020,0,0
02 5 2020,0,0
02 6 2020,0,0
02 7 2020,0,0
02 8 2020,0,0
02 9 2020,0,0
03 1 2020,6,2
03 10 2020,303,124
03 11 2020,285,162
03 12 2020,430,214
03 13 2020,299,250
03 14 2020,371,294
03 15 2020,1206,444
03 16 2020,772,523
03 17 2020,2795,879
03 18 2020,3423,1328
03 19 2020,4759,1946
03 2 2020,25,6
03 20 2020,3568,2413
03 21 2020,5835,3194
03 22 2020,8837,4284
03 23 2020,10792,5715
03 24 2020,10193,6772
03 25 2020,13931,8273
03 26 2020,16957,10016
03 27 2020,18156,12100
03 28 2020,19309,14025
03 29 2020,18113,15350
03 3 2020,24,9
03 30 2020,22064,16960
03 31 2020,22715,18749
03 4 2020,22,12
03 5 2020,62,21
03 6 2020,51,28
03 7 2020,63,36
03 8 2020,153,57
03 9 2020,219,84
04 1 2020,27271,20655
04 10 2020,34182,31227
04 11 2020,32735,31523
04 12 2020,28542,31928
04 13 2020,24600,29357
04 14 2020,26082,29930
04 15 2020,27212,29289
04 16 2020,29096,28921
04 17 2020,29711,28282
04 18 2020,29899,27877
04 19 2020,24731,27333
04 2 2020,26090,21959
04 20 2020,29460,28027
04 21 2020,26168,28039
04 22 2020,26608,27953
04 23 2020,37163,29105
04 24 2020,29993,29146
04 25 2020,33804,29703
04 26 2020,28397,30227
04 27 2020,23698,29404
04 28 2020,23733,29056
04 29 2020,25651,28919
04 3 2020,35085,24378
04 30 2020,31549,28117
04 4 2020,30664,26000
04 5 2020,25711,27085
04 6 2020,42594,30018
04 7 2020,22071,29926
04 8 2020,31700,30559
04 9 2020,31673,31356
05 1 2020,29609,28063
05 10 2020,24279,24635
05 11 2020,17549,24383
05 12 2020,21501,24242
05 13 2020,20819,23935
05 14 2020,26995,23349
05 15 2020,22769,22985
05 16 2020,32062,23710
05 17 2020,13411,22158
05 18 2020,24705,23180
05 19 2020,23504,23466
05 2 2020,29572,27458
05 20 2020,22694,23734
05 21 2020,20448,22799
05 22 2020,24280,23014
05 23 2020,26544,22226
05 24 2020,15365,22505
05 25 2020,24967,22543
05 26 2020,16354,21521
05 27 2020,19737,21099
05 28 2020,21361,21229
05 29 2020,18265,20370
05 3 2020,29828,27662
05 30 2020,23698,19963
05 31 2020,26197,21511
05 4 2020,19318,27037
05 5 2020,22488,26859
05 6 2020,22966,26475
05 7 2020,31099,26411
05 8 2020,25316,25798
05 9 2020,26984,25428
07 1 2020,54451,43602
07 1 2020,15033,20092
07 10 2020,66464,54837
07 10 2020,20562,21743
07 11 2020,62915,56377
07 11 2020,21860,21931
07 12 2020,60518,58698
07 12 2020,22478,20990
07 13 2020,59023,60491
07 13 2020,25483,20473
07 14 2020,61193,62037
07 14 2020,21930,21057
07 15 2020,67656,62434
07 15 2020,18690,21204
07 16 2020,72315,64297
07 16 2020,28625,22804
07 17 2020,75062,65526
07 17 2020,22990,23150
07 18 2020,67648,66202
07 18 2020,27957,24021
07 19 2020,63127,66574
07 19 2020,32375,25435
07 2 2020,52823,45343
07 2 2020,24980,21324
07 20 2020,58124,66446
07 20 2020,32421,26426
07 21 2020,63389,66760
07 21 2020,27604,27237
07 22 2020,70415,67154
07 22 2020,26703,28382
07 23 2020,72526,67184
07 23 2020,34441,29213
07 24 2020,75081,67187
07 24 2020,37823,31332
07 25 2020,64631,66756
07 25 2020,40632,33142
07 26 2020,61762,66561
07 26 2020,44784,34915
07 27 2020,54715,66074
07 27 2020,44686,36667
07 28 2020,60174,65614
07 28 2020,41012,38583
07 29 2020,66314,65029
07 29 2020,35901,39897
07 3 2020,57748,47195
07 3 2020,14707,20605
07 30 2020,68330,64429
07 30 2020,43750,41226
07 31 2020,68880,63543
07 4 2020,52140,48260
07 4 2020,20548,20489
07 5 2020,44268,48725
07 5 2020,29061,22032
07 6 2020,46474,50236
07 6 2020,29101,22803
07 7 2020,50373,51182
07 7 2020,17844,21610
07 8 2020,64873,52671
07 8 2020,17661,21986
07 9 2020,59273,53592
07 9 2020,17429,20907
08 1 2020,59009,62740
08 10 2020,40637,52373
08 11 2020,55895,53169
08 12 2020,56828,53594
08 13 2020,53224,53175
08 14 2020,56770,52396
08 15 2020,54825,52434
08 16 2020,42061,51462
08 17 2020,38971,51224
08 18 2020,39936,48945
08 19 2020,46796,47511
08 2 2020,47758,60740
08 20 2020,45156,46359
08 21 2020,47366,45015
08 22 2020,45450,43676
08 23 2020,38704,43197
08 24 2020,33377,42397
08 25 2020,37647,42070
08 26 2020,46902,42086
08 27 2020,47236,42383
08 28 2020,45168,42069
08 29 2020,43529,41794
08 3 2020,50013,60068
08 30 2020,38524,41769
08 31 2020,32466,41638
08 4 2020,50322,58660
08 5 2020,53854,56880
08 6 2020,56151,55141
08 7 2020,62228,54190
08 8 2020,54554,53554
08 9 2020,48865,53712
09 1 2020,43795,42517
09 10 2020,37918,35791
09 11 2020,46552,35344
09 12 2020,40523,34637
09 13 2020,35477,34800
09 14 2020,34494,35968
09 15 2020,34794,37579
09 16 2020,42163,38845
09 17 2020,44228,39747
09 18 2020,49254,40133
09 19 2020,42543,40421
09 2 2020,40178,41556
09 20 2020,37415,40698
09 21 2020,39554,41421
09 22 2020,49860,43573
09 23 2020,41616,43495
09 24 2020,42749,43284
09 25 2020,46674,42915
09 26 2020,49922,43970
09 27 2020,36488,43837
09 28 2020,34151,43065
09 29 2020,39141,41534
09 3 2020,45074,41247
09 30 2020,45515,42091
09 4 2020,49686,41893
09 5 2020,45468,42170
09 6 2020,34335,41571
09 7 2020,26318,40693
09 8 2020,23521,37797
09 9 2020,33296,36814
10 1 2020,47304,42742
10 10 2020,53660,48249
10 11 2020,45949,49568
10 12 2020,46893,50566
10 13 2020,47791,51671
10 14 2020,60238,52656
10 15 2020,63710,53845
10 16 2020,70466,55529
10 17 2020,53610,55522
10 18 2020,47119,55689
10 19 2020,60443,57625
10 2 2020,50421,43277
10 20 2020,60798,59483
10 21 2020,63945,60013
10 22 2020,74632,61573
10 23 2020,83546,63441
10 24 2020,83958,67777
10 25 2020,63243,70080
10 26 2020,63977,70585
10 27 2020,72731,72290
10 28 2020,82615,74957
10 29 2020,90524,77227
10 3 2020,49490,43215
10 30 2020,100177,79603
10 31 2020,89002,80324
10 4 2020,36719,43248
10 5 2020,39909,44071
10 6 2020,40052,44201
10 7 2020,53348,45320
10 8 2020,55384,46474
10 9 2020,58677,47654
11 1 2020,69742,81252
11 10 2020,136789,117069
11 11 2020,144000,122291
11 12 2020,158230,127969
11 13 2020,181330,134751
11 14 2020,156838,143705
11 15 2020,138025,148381
11 16 2020,151855,152438
11 17 2020,164382,156380
11 18 2020,165087,159392
11 19 2020,185095,163230
11 2 2020,86608,84485
11 20 2020,192673,164850
11 21 2020,184591,168815
11 22 2020,147840,170217
11 23 2020,157531,171028
11 24 2020,165282,171157
11 25 2020,181619,173518
11 26 2020,142739,167467
11 3 2020,88808,86782
11 4 2020,107447,90329
11 5 2020,118482,94323
11 6 2020,133854,99134
11 7 2020,94164,99872
11 8 2020,105294,104951
11 9 2020,123455,110214
