Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,All Ages,"231,197","2,512,880","235,070","105,255","6,809","366,793",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,Under 1 year,27,"14,251",133,4,15,171,
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,0-17 years,117,"25,213",396,18,123,618,
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,1-4 years,16,"2,643",89,2,42,145,
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,5-14 years,40,"4,258",119,7,53,205,
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,15-24 years,418,"27,290",552,146,55,875,
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,18-29 years,"1,015","48,251","1,265",413,102,"1,959",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,25-34 years,"1,769","55,812","1,958",781,153,"3,084",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,30-49 years,"10,395","167,234","9,817","4,684",573,"16,021",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,35-44 years,"4,554","78,868","4,398","2,013",250,"7,160",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,45-54 years,"12,033","143,604","11,488","5,691",590,"18,311",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,50-64 years,"36,346","415,061","38,095","17,835","1,615","57,931",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,55-64 years,"29,016","329,033","30,836","14,306","1,255","46,578",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,65-74 years,"49,862","498,849","52,603","24,515","1,481","79,182",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,75-84 years,"61,860","607,229","64,519","29,106","1,505","98,562",
11/18/2020,2/1/2020,11/14/2020,United States,All Sexes,85 years and over,"71,602","751,043","68,375","28,684","1,410","112,520",
11/18/2020,2/1/2020,11/14/2020,United States,Male,All Ages,"125,091","1,311,803","129,300","59,663","3,515","197,612",
11/18/2020,2/1/2020,11/14/2020,United States,Male,Under 1 year,19,"7,884",79,3,7,102,
11/18/2020,2/1/2020,11/14/2020,United States,Male,0-17 years,69,"14,848",220,11,64,342,
11/18/2020,2/1/2020,11/14/2020,United States,Male,1-4 years,8,"1,542",44,1,25,76,
11/18/2020,2/1/2020,11/14/2020,United States,Male,5-14 years,25,"2,551",63,6,24,106,
11/18/2020,2/1/2020,11/14/2020,United States,Male,15-24 years,255,"20,212",337,88,27,528,
11/18/2020,2/1/2020,11/14/2020,United States,Male,18-29 years,644,"35,392",768,245,53,"1,213",
11/18/2020,2/1/2020,11/14/2020,United States,Male,25-34 years,"1,144","39,488","1,205",494,78,"1,923",
11/18/2020,2/1/2020,11/14/2020,United States,Male,30-49 years,"7,032","109,742","6,156","3,179",310,"10,262",
11/18/2020,2/1/2020,11/14/2020,United States,Male,35-44 years,"3,064","51,925","2,757","1,355",133,"4,577",
11/18/2020,2/1/2020,11/14/2020,United States,Male,45-54 years,"8,156","90,204","7,162","3,871",352,"11,724",
11/18/2020,2/1/2020,11/14/2020,United States,Male,50-64 years,"23,644","256,265","23,275","11,548",933,"36,107",
11/18/2020,2/1/2020,11/14/2020,United States,Male,55-64 years,"18,718","202,441","18,772","9,165",714,"28,888",
11/18/2020,2/1/2020,11/14/2020,United States,Male,65-74 years,"30,525","289,454","31,604","15,141",827,"47,654",
11/18/2020,2/1/2020,11/14/2020,United States,Male,75-84 years,"34,172","315,489","36,297","16,575",750,"54,523",
11/18/2020,2/1/2020,11/14/2020,United States,Male,85 years and over,"29,005","290,613","30,980","12,964",578,"47,511",
11/18/2020,2/1/2020,11/14/2020,United States,Female,All Ages,"106,100","1,200,984","105,763","45,588","3,293","169,171",
11/18/2020,2/1/2020,11/14/2020,United States,Female,Under 1 year,8,"6,343",54,1,8,69,
11/18/2020,2/1/2020,11/14/2020,United States,Female,0-17 years,48,"10,340",176,7,59,276,
11/18/2020,2/1/2020,11/14/2020,United States,Female,1-4 years,8,"1,101",45,1,17,69,
11/18/2020,2/1/2020,11/14/2020,United States,Female,5-14 years,15,"1,707",56,1,29,99,
11/18/2020,2/1/2020,11/14/2020,United States,Female,15-24 years,163,"7,075",215,58,28,347,
11/18/2020,2/1/2020,11/14/2020,United States,Female,18-29 years,371,"12,857",497,168,49,746,
11/18/2020,2/1/2020,11/14/2020,United States,Female,25-34 years,625,"16,322",753,287,75,"1,161",
11/18/2020,2/1/2020,11/14/2020,United States,Female,30-49 years,"3,363","57,486","3,661","1,505",263,"5,759",
11/18/2020,2/1/2020,11/14/2020,United States,Female,35-44 years,"1,490","26,940","1,641",658,117,"2,583",
11/18/2020,2/1/2020,11/14/2020,United States,Female,45-54 years,"3,875","53,396","4,325","1,819",238,"6,585",
11/18/2020,2/1/2020,11/14/2020,United States,Female,50-64 years,"12,700","158,784","14,818","6,286",681,"21,820",
11/18/2020,2/1/2020,11/14/2020,United States,Female,55-64 years,"10,298","126,583","12,063","5,141",540,"17,688",
11/18/2020,2/1/2020,11/14/2020,United States,Female,65-74 years,"19,336","209,385","20,998","9,373",654,"31,527",
11/18/2020,2/1/2020,11/14/2020,United States,Female,75-84 years,"27,687","291,725","28,220","12,530",755,"44,037",
11/18/2020,2/1/2020,11/14/2020,United States,Female,85 years and over,"42,595","460,407","37,393","15,719",832,"65,006",
11/18/2020,2/1/2020,11/14/2020,Alabama,All Sexes,All Ages,"4,184","46,998","3,698","1,369",102,"6,610",
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,All Ages,"2,159","24,428","1,968",719,60,"3,465",
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,Under 1 year,0,151,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,0-17 years,0,302,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,1-4 years,0,33,0,0,0,0,
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,5-14 years,0,52,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,15-24 years,0,403,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/18/2020,2/1/2020,11/14/2020,Alabama,Male,18-29 years,11,646,0,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
