Date,Total Deaths,Rate per 100000
Nov 30 2020,267302,82
Nov 29 2020,266051,81
Nov 28 2020,265166,81
Nov 27 2020,263956,81
Nov 26 2020,262673,80
Nov 25 2020,261276,80
Nov 24 2020,259005,79
Nov 23 2020,257016,79
Nov 22 2020,255958,78
Nov 21 2020,255076,78
Nov 20 2020,253600,78
Nov 19 2020,251715,77
Nov 18 2020,249670,76
Nov 17 2020,247834,76
Nov 16 2020,246232,75
Nov 15 2020,245470,75
Nov 14 2020,244810,75
Nov 13 2020,243558,74
Nov 12 2020,242216,74
Nov 11 2020,240596,74
Nov 10 2020,239590,73
Nov 9 2020,237731,73
Nov 8 2020,237027,72
Nov 7 2020,236547,72
Nov 6 2020,235475,72
Nov 5 2020,234264,72
Nov 4 2020,233129,71
Nov 3 2020,231988,71
Nov 2 2020,230893,71
Nov 1 2020,230383,70
Oct 31 2020,229978,70
Oct 30 2020,229109,70
Oct 29 2020,228100,70
Oct 28 2020,227045,69
Oct 27 2020,225985,69
Oct 26 2020,225084,69
Oct 25 2020,224601,69
Oct 24 2020,224221,69
Oct 23 2020,223393,68
Oct 22 2020,222447,68
Oct 21 2020,221438,68
Oct 20 2020,220362,67
Oct 19 2020,219499,67
Oct 18 2020,218986,67
Oct 17 2020,218511,67
Oct 16 2020,217918,67
Oct 15 2020,216917,66
Oct 14 2020,216025,66
Oct 13 2020,215194,66
Oct 12 2020,214446,66
Oct 11 2020,214108,65
Oct 10 2020,213614,65
Oct 9 2020,213037,65
Oct 8 2020,212111,65
Oct 7 2020,211132,65
Oct 6 2020,210232,64
Oct 5 2020,209560,64
Oct 4 2020,209199,64
Oct 3 2020,208821,64
Oct 2 2020,208118,64
Oct 1 2020,207302,63
Sep 30 2020,206402,63
Sep 29 2020,205372,63
Sep 28 2020,204598,63
Sep 27 2020,204328,62
Sep 26 2020,204033,62
Sep 25 2020,203180,62
Sep 24 2020,202352,62
Sep 23 2020,201433,62
Sep 22 2020,200275,61
Sep 21 2020,199462,61
Sep 20 2020,199024,61
Sep 19 2020,198743,61
Sep 18 2020,198079,61
Sep 17 2020,197116,60
Sep 16 2020,196284,60
Sep 15 2020,195053,60
Sep 14 2020,194092,59
Sep 13 2020,193705,59
Sep 12 2020,193195,59
Sep 11 2020,192388,59
Sep 10 2020,191353,58
Sep 9 2020,190262,58
Sep 8 2020,189147,58
Sep 7 2020,188688,58
Sep 6 2020,188513,58
Sep 5 2020,188051,57
Sep 4 2020,187159,57
Sep 3 2020,186173,57
Sep 2 2020,185092,57
Sep 1 2020,184083,56
Aug 31 2020,183050,56
Aug 30 2020,182622,56
Aug 29 2020,182149,56
Aug 28 2020,181143,55
Aug 27 2020,180165,55
Aug 26 2020,178998,55
Aug 25 2020,177759,54
Aug 24 2020,176617,54
Aug 23 2020,176223,54
Aug 22 2020,175651,54
Aug 21 2020,174644,53
Aug 20 2020,173490,53
Aug 19 2020,172416,53
Aug 18 2020,171012,52
Aug 17 2020,169840,52
Aug 16 2020,169350,52
Aug 15 2020,168600,52
Aug 14 2020,167546,51
Aug 13 2020,166317,51
Aug 12 2020,165148,50
Aug 11 2020,163651,50
Aug 10 2020,162407,50
Aug 9 2020,161842,49
Aug 8 2020,161284,49
Aug 7 2020,160220,49
Aug 6 2020,158880,49
Aug 5 2020,157631,48
Aug 4 2020,156311,48
Aug 3 2020,155204,47
Aug 2 2020,154471,47
Aug 1 2020,154002,47
Jul 31 2020,152870,47
Jul 30 2020,151499,46
Jul 29 2020,150283,46
Jul 28 2020,148866,46
Jul 27 2020,147672,45
Jul 26 2020,146546,45
Jul 25 2020,145982,45
Jul 24 2020,145013,44
Jul 23 2020,143868,44
Jul 22 2020,142755,44
Jul 21 2020,141677,43
Jul 20 2020,140630,43
Jul 19 2020,140157,43
Jul 18 2020,139659,43
Jul 17 2020,138782,42
Jul 16 2020,137864,42
Jul 15 2020,136938,42
Jul 14 2020,135991,42
Jul 13 2020,135218,41
Jul 12 2020,134884,41
Jul 11 2020,134392,41
Jul 10 2020,133666,41
Jul 9 2020,132855,41
Jul 8 2020,132056,40
Jul 7 2020,131065,40
Jul 6 2020,130133,40
Jul 5 2020,129811,40
Jul 4 2020,129576,40
Jul 3 2020,129305,40
Jul 2 2020,128644,39
Jul 1 2020,128024,39
Jun 30 2020,127299,39
Jun 29 2020,126739,39
Jun 28 2020,126369,39
Jun 27 2020,125484,38
Jun 26 2020,124976,38
Jun 25 2020,124325,38
Jun 24 2020,121809,37
Jun 23 2020,121117,37
Jun 22 2020,120333,37
Jun 21 2020,119923,37
Jun 20 2020,119615,37
Jun 19 2020,119055,36
Jun 18 2020,118365,36
Jun 17 2020,117632,36
Jun 16 2020,116878,36
Jun 15 2020,116140,35
Jun 14 2020,115644,35
Jun 13 2020,115271,35
Jun 12 2020,114625,35
